Cluster,Source,Superfamily,N_sites,N_total,pct
Cluster 1,CATH,2.60.120.260,2,45,4.4
Cluster 1,CATH,3.40.630.30,2,45,4.4
Cluster 1,CATH,2.40.128.50,2,45,4.4
Cluster 1,CATH,3.40.50.360,1,45,2.2
Cluster 1,CATH,3.90.190.10,1,45,2.2
Cluster 1,CATH,1.10.287.230,1,45,2.2
Cluster 1,CATH,1.10.620.20,1,45,2.2
Cluster 1,CATH,3.10.400.10,1,45,2.2
Cluster 1,CATH,3.40.50.300,1,45,2.2
Cluster 1,CATH,3.40.50.620,1,45,2.2
Cluster 1,CATH,3.60.20.30,1,45,2.2
Cluster 1,CATH,3.40.1190.20,1,45,2.2
Cluster 1,CATH,1.10.10.10,1,45,2.2
Cluster 1,CATH,3.30.70.920,1,45,2.2
Cluster 1,CATH,2.60.210.10,1,45,2.2
Cluster 1,CATH,3.30.2000.10,1,45,2.2
Cluster 1,CATH,1.20.1440.60,1,45,2.2
Cluster 1,CATH,2.60.200.20,1,45,2.2
Cluster 1,CATH,2.30.39.10,1,45,2.2
Cluster 1,CATH,3.30.497.10,1,45,2.2
Cluster 1,CATH,1.10.490.10,1,45,2.2
Cluster 1,CATH,3.20.20.100,1,45,2.2
Cluster 1,CATH,2.70.98.90,1,45,2.2
Cluster 1,CATH,3.40.50.11130,1,45,2.2
Cluster 1,CATH,2.60.120.800,1,45,2.2
Cluster 1,CATH,3.30.40.10,1,45,2.2
Cluster 1,CATH,3.40.630.10,1,45,2.2
Cluster 1,CATH,3.40.220.10,1,45,2.2
Cluster 1,CATH,3.90.280.10,1,45,2.2
Cluster 1,CATH,3.90.226.10,1,45,2.2
Cluster 1,CATH,3.30.300.10,1,45,2.2
Cluster 1,CATH,2.60.120.20,1,45,2.2
Cluster 1,CATH,1.25.40.390,1,45,2.2
Cluster 1,CATH,3.30.1130.10,1,45,2.2
Cluster 1,CATH,3.40.50.1000,1,45,2.2
Cluster 1,CATH,3.30.300.290,1,45,2.2
Cluster 1,CATH,2.40.30.180,1,45,2.2
Cluster 1,CATH,1.10.10.2660,1,45,2.2
Cluster 1,CATH,3.50.50.80,1,45,2.2
Cluster 1,CATH,3.40.50.12550,1,45,2.2
Cluster 1,CATH,3.40.50.720,1,45,2.2
Cluster 1,CATH,3.10.290.60,1,45,2.2
Cluster 1,CATH,3.40.605.10,1,45,2.2
Cluster 1,CATH,3.40.309.10,1,45,2.2
Cluster 1,CATH,1.10.246.10,1,45,2.2
Cluster 1,CATH,2.60.40.1280,1,45,2.2
Cluster 1,CATH,2.60.40.1290,1,45,2.2
Cluster 1,CATH,3.40.430.10,1,45,2.2
Cluster 1,CATH,3.20.20.80,1,45,2.2
Cluster 1,CATH,2.70.98.10,1,45,2.2
Cluster 1,CATH,2.60.40.1180,1,45,2.2
Cluster 1,CATH,6.10.250.2070,1,45,2.2
Cluster 1,CATH,1.20.120.770,1,45,2.2
Cluster 1,CATH,3.30.70.560,1,45,2.2
Cluster 1,CATH,3.30.500.10,1,45,2.2
Cluster 1,CATH,2.60.40.10,1,45,2.2
Cluster 1,CATH,3.90.1230.10,1,45,2.2
Cluster 1,CATH,3.90.340.10,1,45,2.2
Cluster 1,CATH,3.90.440.10,1,45,2.2
Cluster 1,CATH,3.30.1330.40,1,45,2.2
Cluster 1,CATH,3.40.47.10,1,45,2.2
Cluster 1,CATH,3.30.1700.10,1,45,2.2
Cluster 1,CATH,3.30.230.20,1,45,2.2
Cluster 2,CATH,3.40.630.30,2,34,5.9
